        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         123        0.296        1.700       -0.026  -0.02028985   0.02246737   0.01743014
         124        0.296        1.804       -0.026  -0.02130198   0.01907614   0.01748668
         125        0.296        1.908       -0.026  -0.02180923   0.01582286   0.01755626
         126        0.296        2.012       -0.026  -0.02178842   0.01268677   0.01763173
         127        0.296        2.116       -0.026  -0.02124959   0.00964745   0.01770296
         128        0.296        2.220       -0.026  -0.02023772   0.00667558   0.01776043
         129        0.296        2.324       -0.026  -0.01882635   0.00375819   0.01779562
         130        0.296        2.428       -0.026  -0.01711257   0.00088946   0.01780079
         131        0.296        2.532       -0.026  -0.01520618  -0.00191128   0.01777275
         132        0.296        2.636       -0.026  -0.01321177  -0.00461407   0.01771219
         133        0.296        2.740       -0.026  -0.01123115  -0.00717408   0.01762574
         134        0.296        2.844       -0.026  -0.00934625  -0.00954251   0.01752238
         135        0.296        2.948       -0.026  -0.00763344  -0.01166153   0.01741423
         136        0.296        3.052       -0.026  -0.00614646  -0.01347948   0.01731714
         137        0.296        3.156       -0.026  -0.00492562  -0.01494701   0.01724664
         138        0.296        3.260       -0.026  -0.00399800  -0.01602397   0.01721769
         139        0.296        3.364       -0.026  -0.00337826  -0.01668054   0.01724312
         140        0.296        3.468       -0.026  -0.00323810  -0.01639354   0.01733501
         141        0.400       -0.068       -0.026   0.00878477   0.06852308   0.01844044
         142        0.400        0.036       -0.026   0.00874078   0.06838404   0.01837875
         143        0.400        0.140       -0.026   0.00822109   0.06753377   0.01831608
         144        0.400        0.244       -0.026   0.00742606   0.06630278   0.01826578
         145        0.400        0.348       -0.026   0.00636242   0.06469000   0.01822254
         146        0.400        0.452       -0.026   0.00503262   0.06271091   0.01818420
         147        0.400        0.556       -0.026   0.00344477   0.06037967   0.01814803
         148        0.400        0.660       -0.026   0.00160662   0.05771797   0.01811159
         149        0.400        0.764       -0.026  -0.00046523   0.05475120   0.01807410
         150        0.400        0.868       -0.026  -0.00275240   0.05151143   0.01803555
         151        0.400        0.972       -0.026  -0.00522088   0.04804096   0.01799357
         152        0.400        1.076       -0.026  -0.00782844   0.04439213   0.01795221
         153        0.400        1.180       -0.026  -0.01051705   0.04062324   0.01791286
         154        0.400        1.284       -0.026  -0.01321459   0.03679667   0.01788219
         155        0.400        1.388       -0.026  -0.01583267   0.03297750   0.01786254
         156        0.400        1.492       -0.026  -0.01827204   0.02922905   0.01786018
         157        0.400        1.596       -0.026  -0.02042482   0.02560172   0.01787652
         158        0.400        1.700       -0.026  -0.02218866   0.02213226   0.01791369
         159        0.400        1.804       -0.026  -0.02347057   0.01883481   0.01796946
         160        0.400        1.908       -0.026  -0.02420172   0.01570249   0.01803675
         161        0.400        2.012       -0.026  -0.02434675   0.01270275   0.01810821
         162        0.400        2.116       -0.026  -0.02390905   0.00979484   0.01817274
         163        0.400        2.220       -0.026  -0.02293262   0.00693693   0.01821974
         164        0.400        2.324       -0.026  -0.02150105   0.00410126   0.01823816
         165        0.400        2.428       -0.026  -0.01972316   0.00127059   0.01822080
         166        0.400        2.532       -0.026  -0.01772529  -0.00153699   0.01816375
         167        0.400        2.636       -0.026  -0.01562818  -0.00428339   0.01806994
         168        0.400        2.740       -0.026  -0.01354598  -0.00691247   0.01794697
         169        0.400        2.844       -0.026  -0.01157355  -0.00936485   0.01780758
         170        0.400        2.948       -0.026  -0.00978852  -0.01157328   0.01766618
         171        0.400        3.052       -0.026  -0.00824714  -0.01347328   0.01753987
         172        0.400        3.156       -0.026  -0.00698958  -0.01501037   0.01744500
         173        0.400        3.260       -0.026  -0.00604001  -0.01613996   0.01739850
         174        0.400        3.364       -0.026  -0.00541477  -0.01682850   0.01741450
         175        0.400        3.468       -0.026  -0.00527618  -0.01655204   0.01751506
         176        0.504       -0.068       -0.026   0.00940212   0.06856668   0.01885413
         177        0.504        0.036       -0.026   0.00934708   0.06840183   0.01878637
         178        0.504        0.140       -0.026   0.00881655   0.06754452   0.01872862
         179        0.504        0.244       -0.026   0.00800643   0.06630387   0.01868942
         180        0.504        0.348       -0.026   0.00692172   0.06467782   0.01866232
         181        0.504        0.452       -0.026   0.00555929   0.06268039   0.01864536
         182        0.504        0.556       -0.026   0.00392356   0.06032313   0.01863265
         183        0.504        0.660       -0.026   0.00201862   0.05762677   0.01862249
         184        0.504        0.764       -0.026  -0.00014796   0.05461315   0.01861165
         185        0.504        0.868       -0.026  -0.00256301   0.05131785   0.01859879
         186        0.504        0.972       -0.026  -0.00520206   0.04778144   0.01858109
         187        0.504        1.076       -0.026  -0.00802919   0.04405840   0.01856029
         188        0.504        1.180       -0.026  -0.01098982   0.04021294   0.01853816
         189        0.504        1.284       -0.026  -0.01401056   0.03631419   0.01851960
         190        0.504        1.388       -0.026  -0.01699634   0.03243920   0.01850827
         191        0.504        1.492       -0.026  -0.01983338   0.02866305   0.01850952
         192        0.504        1.596       -0.026  -0.02239426   0.02505080   0.01852798
         193        0.504        1.700       -0.026  -0.02455292   0.02164974   0.01856594
         194        0.504        1.804       -0.026  -0.02619271   0.01847423   0.01862092
         195        0.504        1.908       -0.026  -0.02722189   0.01550652   0.01868578
         196        0.504        2.012       -0.026  -0.02758569   0.01269812   0.01875109
         197        0.504        2.116       -0.026  -0.02727944   0.00998016   0.01880487
         198        0.504        2.220       -0.026  -0.02634554   0.00728467   0.01883528
         199        0.504        2.324       -0.026  -0.02488034   0.00455699   0.01882961
         200        0.504        2.428       -0.026  -0.02300905   0.00177459   0.01877954
         201        0.504        2.532       -0.026  -0.02088095  -0.00104827   0.01868289
         202        0.504        2.636       -0.026  -0.01864034  -0.00386381   0.01854361
         203        0.504        2.740       -0.026  -0.01642015  -0.00659845   0.01837343
         204        0.504        2.844       -0.026  -0.01432730  -0.00917183   0.01818721
         205        0.504        2.948       -0.026  -0.01244568  -0.01150276   0.01800225
         206        0.504        3.052       -0.026  -0.01083049  -0.01351527   0.01783818
         207        0.504        3.156       -0.026  -0.00952167  -0.01514616   0.01771293
         208        0.504        3.260       -0.026  -0.00854224  -0.01634453   0.01764407
         209        0.504        3.364       -0.026  -0.00790709  -0.01707305   0.01764719
         210        0.504        3.468       -0.026  -0.00777512  -0.01680860   0.01774948
         211        0.608       -0.068       -0.026   0.01018976   0.06862763   0.01936301
         212        0.608        0.036       -0.026   0.01011704   0.06844709   0.01928545
         213        0.608        0.140       -0.026   0.00957316   0.06758134   0.01923296
         214        0.608        0.244       -0.026   0.00874628   0.06632994   0.01920634
         215        0.608        0.348       -0.026   0.00763723   0.06468990   0.01919941
         216        0.608        0.452       -0.026   0.00624025   0.06266840   0.01920781
         217        0.608        0.556       -0.026   0.00455640   0.06027984   0.01922575
         218        0.608        0.660       -0.026   0.00258003   0.05754036   0.01924933
         219        0.608        0.764       -0.026   0.00031243   0.05447181   0.01927315
         220        0.608        0.868       -0.026  -0.00224170   0.05110707   0.01929476
         221        0.608        0.972       -0.026  -0.00507067   0.04748477   0.01930932
         222        0.608        1.076       -0.026  -0.00814589   0.04366283   0.01931711
         223        0.608        1.180       -0.026  -0.01142045   0.03970770   0.01931805
         224        0.608        1.284       -0.026  -0.01482018   0.03570085   0.01931761
         225        0.608        1.388       -0.026  -0.01824385   0.03173284   0.01931845
         226        0.608        1.492       -0.026  -0.02156232   0.02790011   0.01932857
         227        0.608        1.596       -0.026  -0.02462582   0.02428811   0.01935300
         228        0.608        1.700       -0.026  -0.02727828   0.02095692   0.01939431
         229        0.608        1.804       -0.026  -0.02936846   0.01793140   0.01945081
         230        0.608        1.908       -0.026  -0.03077533   0.01518171   0.01951340
         231        0.608        2.012       -0.026  -0.03142068   0.01263202   0.01957053
         232        0.608        2.116       -0.026  -0.03128100   0.01017588   0.01960738
         233        0.608        2.220       -0.026  -0.03040205   0.00770124   0.01961097
         234        0.608        2.324       -0.026  -0.02888776   0.00512140   0.01956868
         235        0.608        2.428       -0.026  -0.02689335   0.00239588   0.01947230
         236        0.608        2.532       -0.026  -0.02459575  -0.00046027   0.01932154
         237        0.608        2.636       -0.026  -0.02217134  -0.00337874   0.01912306
         238        0.608        2.740       -0.026  -0.01977642  -0.00626166   0.01889254
         239        0.608        2.844       -0.026  -0.01753407  -0.00899990   0.01864731
         240        0.608        2.948       -0.026  -0.01553268  -0.01149438   0.01840883
         241        0.608        3.052       -0.026  -0.01382945  -0.01365125   0.01819856
         242        0.608        3.156       -0.026  -0.01246057  -0.01539956   0.01803615
         243        0.608        3.260       -0.026  -0.01144665  -0.01668183   0.01794006
         244        0.608        3.364       -0.026  -0.01080072  -0.01745934   0.01792847
         245        0.608        3.468       -0.026  -0.01066612  -0.01719972   0.01803659
         246        0.712       -0.068       -0.026   0.01113088   0.06869507   0.01994889
         247        0.712        0.036       -0.026   0.01104707   0.06850374   0.01986428
         248        0.712        0.140       -0.026   0.01049143   0.06762882   0.01981796
         249        0.712        0.244       -0.026   0.00965012   0.06636664   0.01980733
         250        0.712        0.348       -0.026   0.00851800   0.06470920   0.01982391
         251        0.712        0.452       -0.026   0.00708995   0.06266472   0.01986303
         252        0.712        0.556       -0.026   0.00535882   0.06024180   0.01991779
         253        0.712        0.660       -0.026   0.00331492   0.05745490   0.01998268
         254        0.712        0.764       -0.026   0.00094936   0.05432215   0.02005112
         255        0.712        0.868       -0.026  -0.00174488   0.05087439   0.02011725
         256        0.712        0.972       -0.026  -0.00476632   0.04714751   0.02017370
         257        0.712        1.076       -0.026  -0.00810157   0.04319730   0.02021873
         258        0.712        1.180       -0.026  -0.01171264   0.03909562   0.02025210
         259        0.712        1.284       -0.026  -0.01553053   0.03493496   0.02027629
         260        0.712        1.388       -0.026  -0.01944846   0.03082673   0.02029603
         261        0.712        1.492       -0.026  -0.02332289   0.02689080   0.02032057
         262        0.712        1.596       -0.026  -0.02697685   0.02324393   0.02035626
         263        0.712        1.700       -0.026  -0.03021750   0.01997453   0.02040769
         264        0.712        1.804       -0.026  -0.03285414   0.01712099   0.02047173
         265        0.712        1.908       -0.026  -0.03472656   0.01464397   0.02053564
         266        0.712        2.012       -0.026  -0.03571898   0.01243605   0.02058365
         267        0.712        2.116       -0.026  -0.03579164   0.01033202   0.02059703
         268        0.712        2.220       -0.026  -0.03497875   0.00815764   0.02056157
         269        0.712        2.324       -0.026  -0.03340582   0.00577150   0.02046429
         270        0.712        2.428       -0.026  -0.03125678   0.00310918   0.02030196
         271        0.712        2.532       -0.026  -0.02875307   0.00019338   0.02007651
